employee_id,genre,statut_marital,departement,poste,heure_supplementaires,domaine_etude,ayant_enfants,frequence_deplacement,age,revenu_mensuel,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,ratio_poste_entreprise,evolution_evaluation,satisfaction_globale,salaire_par_experience,duree_moyenne_poste,attrition_actual,dataset_type
13,M,Marié(e),Consulting,Assistant de Direction,Non,Autre,Y,Occasionnel,45,3697,9,80,12,10,9,4,3,2,4,1,3,3,0.14,2,3,1,8,4,9,8,0.8181818181818182,0,3.0,284.38461538461536,1.2,0,train
14,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,23,2272,0,80,5,4,3,1,3,2,3,2,3,3,0.14,0,2,1,20,1,1,2,0.6,0,2.25,378.6666666666667,5.0,0,train
15,M,Célibataire,Consulting,Manager,Non,Transformation Digitale,Y,Frequent,34,5343,0,80,14,13,9,4,2,2,1,3,3,4,0.2,0,3,1,1,3,4,9,0.6428571428571429,2,2.75,356.2,14.0,0,train
16,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,19,1102,1,80,1,1,0,2,2,1,4,3,2,4,0.22,0,3,1,2,3,1,0,0.0,2,2.75,551.0,0.5,1,train
17,F,Marié(e),Consulting,Manager,Non,Transformation Digitale,Y,Occasionnel,44,7978,1,80,10,10,7,1,3,3,4,4,3,3,0.11,1,2,1,15,3,0,5,0.6363636363636364,0,3.0,725.2727272727273,5.0,1,train
18,M,Marié(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Aucun,47,5467,8,80,16,8,7,3,3,2,2,3,4,3,0.18,1,4,1,14,4,1,7,0.7777777777777778,0,3.0,321.5882352941176,1.7777777777777777,0,train
19,M,Marié(e),Commercial,Cadre Commercial,Non,Entrepreunariat,Y,Occasionnel,31,6929,4,80,10,8,7,2,4,2,4,2,2,3,0.11,1,3,1,7,3,7,7,0.7777777777777778,-1,2.5,629.9090909090909,2.0,0,train
20,M,Marié(e),Consulting,Manager,Oui,Transformation Digitale,Y,Frequent,46,10673,2,80,21,10,9,3,2,3,1,3,2,3,0.13,1,5,1,1,3,9,5,0.8181818181818182,1,2.25,485.1363636363636,7.0,0,train
21,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,33,2781,0,80,15,14,10,1,3,1,4,2,3,3,0.13,1,5,1,9,3,4,10,0.6666666666666666,0,2.5,173.8125,15.0,0,train
22,F,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,38,8686,4,80,12,8,3,1,2,2,4,3,4,4,0.22,0,2,1,1,4,0,7,0.3333333333333333,2,3.0,668.1538461538462,2.4,0,train
23,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,36,5914,8,80,16,13,11,4,3,2,2,4,4,3,0.16,0,3,1,5,2,3,7,0.7857142857142857,0,3.5,347.88235294117646,1.7777777777777777,0,train
24,F,Célibataire,Ressources Humaines,Ressources Humaines,Non,Infra & Cloud,Y,Occasionnel,46,3423,6,80,10,7,6,4,3,1,1,3,4,3,0.12,0,3,1,1,2,5,7,0.75,0,3.0,311.1818181818182,1.4285714285714286,0,train
25,M,Célibataire,Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,41,6870,3,80,11,3,2,2,4,2,2,1,1,3,0.12,0,3,1,5,3,1,2,0.5,-1,1.5,572.5,2.75,0,train
26,M,Célibataire,Commercial,Représentant Commercial,Non,Marketing,Y,Occasionnel,20,2678,1,80,2,2,1,3,4,1,4,4,3,3,0.17,0,2,1,21,3,2,2,0.3333333333333333,-1,3.5,892.6666666666666,1.0,0,train
27,M,Marié(e),Commercial,Cadre Commercial,Non,Entrepreunariat,Y,Occasionnel,31,8346,1,80,6,5,2,1,3,2,3,3,3,3,0.19,1,3,1,5,3,0,2,0.3333333333333333,0,2.5,1192.2857142857142,3.0,0,train
28,M,Divorcé(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Aucun,31,3065,1,80,4,4,2,3,3,1,1,4,4,3,0.13,1,3,1,3,2,2,3,0.4,0,3.0,613.0,2.0,0,train
29,F,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,46,17048,8,80,28,26,15,3,3,4,1,1,3,4,0.23,0,2,1,2,3,15,9,0.5555555555555556,1,2.0,587.8620689655172,3.111111111111111,0,train
30,M,Marié(e),Consulting,Directeur Technique,Oui,Transformation Digitale,Y,Occasionnel,53,17584,3,80,21,5,3,3,3,4,3,4,2,3,0.16,3,5,1,3,4,1,3,0.5,0,3.0,799.2727272727273,5.25,0,train
31,M,Divorcé(e),Consulting,Consultant,Non,Entrepreunariat,Y,Occasionnel,24,2296,0,80,2,1,1,3,2,1,1,2,3,3,0.14,3,3,1,21,2,0,0,0.5,1,2.25,765.3333333333334,2.0,0,train
32,F,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,52,3149,8,80,9,5,2,4,3,2,3,2,3,4,0.2,1,3,1,11,4,1,4,0.3333333333333333,1,3.0,314.9,1.0,0,train
33,M,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Y,Frequent,36,2088,4,80,13,8,7,4,3,1,2,3,2,3,0.12,0,3,1,3,2,7,2,0.7777777777777778,0,2.75,149.14285714285714,2.6,0,train
34,M,Marié(e),Consulting,Consultant,Oui,Autre,Y,Occasionnel,29,4025,4,80,10,4,3,4,2,2,2,1,3,3,0.13,1,2,1,13,2,0,3,0.6,1,2.5,365.90909090909093,2.0,0,train
35,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Y,Occasionnel,28,4558,1,80,10,10,0,3,3,2,1,4,3,3,0.12,1,2,1,17,2,1,8,0.0,0,2.75,414.3636363636364,5.0,0,train
36,M,Marié(e),Consulting,Senior Manager,Non,Infra & Cloud,Y,Occasionnel,42,18880,5,80,24,22,6,1,3,5,3,1,2,3,0.11,0,2,1,2,3,4,14,0.2608695652173913,0,1.75,755.2,4.0,0,train
37,M,Célibataire,Commercial,Représentant Commercial,Oui,Transformation Digitale,Y,Occasionnel,21,2380,1,80,2,2,2,3,3,1,1,4,3,3,0.11,0,6,1,5,1,1,2,0.6666666666666666,0,2.75,793.3333333333334,1.0,0,train
38,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,52,4941,2,80,11,8,2,3,2,2,2,1,2,3,0.15,0,3,1,8,4,7,7,0.2222222222222222,1,2.0,411.75,3.6666666666666665,1,train
39,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,22,2773,0,80,3,2,2,1,3,1,3,4,3,4,0.2,0,3,1,6,1,2,2,0.6666666666666666,1,2.75,693.25,3.0,0,train
40,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Aucun,34,2979,3,80,6,0,0,3,2,1,4,4,3,3,0.17,3,2,1,3,4,0,0,0.0,1,3.5,425.57142857142856,1.5,0,train
41,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,36,5647,4,80,11,3,2,3,2,2,1,1,2,3,0.13,2,3,1,16,4,0,2,0.5,1,1.75,470.5833333333333,2.2,0,train
42,M,Marié(e),Consulting,Senior Manager,Oui,Transformation Digitale,Y,Occasionnel,33,13610,7,80,15,7,6,2,3,3,3,4,4,3,0.12,0,2,1,15,1,7,7,0.75,0,3.25,850.625,1.875,1,train
43,M,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,22,4775,6,80,4,2,2,4,2,2,4,1,1,4,0.22,2,2,1,1,2,2,2,0.6666666666666666,2,2.5,955.0,0.5714285714285714,0,train
44,F,Divorcé(e),Consulting,Senior Manager,Non,Entrepreunariat,Y,Occasionnel,56,19943,4,80,28,5,2,4,3,5,1,4,3,3,0.13,1,2,1,4,4,4,2,0.3333333333333333,0,3.0,687.6896551724138,5.6,0,train
45,M,Divorcé(e),Consulting,Manager,Oui,Infra & Cloud,Y,Occasionnel,29,6623,1,80,6,6,0,3,3,2,4,2,3,3,0.11,2,2,1,7,3,1,0,0.0,0,3.0,946.1428571428571,3.0,0,train
46,F,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,36,6815,6,80,15,1,0,2,3,2,3,1,3,3,0.13,0,5,1,1,4,0,0,0.0,0,2.25,425.9375,2.142857142857143,0,train
47,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,34,8628,1,80,9,8,7,4,3,3,3,3,2,3,0.18,1,2,1,13,4,1,1,0.7777777777777778,0,3.0,862.8,4.5,0,train
48,F,Célibataire,Consulting,Assistant de Direction,Non,Autre,Y,Occasionnel,34,4809,1,80,16,16,13,1,3,2,3,3,3,3,0.14,0,3,1,6,4,2,10,0.7647058823529411,0,2.5,282.88235294117646,8.0,0,train
49,F,Divorcé(e),Consulting,Directeur Technique,Oui,Transformation Digitale,Y,Occasionnel,50,18740,5,80,29,27,3,2,2,5,3,4,2,3,0.12,1,2,1,7,2,13,8,0.10714285714285714,1,2.75,624.6666666666666,4.833333333333333,0,train
50,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Y,Occasionnel,38,4855,4,80,7,5,2,3,3,2,2,1,3,3,0.11,2,2,1,2,3,1,4,0.3333333333333333,0,2.25,606.875,1.4,1,train
51,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,30,9714,1,80,10,10,8,2,2,2,1,4,3,3,0.11,1,4,1,1,3,6,7,0.7272727272727273,1,2.5,883.0909090909091,5.0,1,train
52,M,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,44,18213,7,80,26,22,9,2,3,5,2,3,3,3,0.11,1,5,1,5,3,3,10,0.391304347826087,0,2.5,674.5555555555555,3.25,0,train
53,M,Marié(e),Consulting,Senior Manager,Non,Transformation Digitale,Y,Frequent,48,15202,2,80,23,2,2,3,2,4,4,2,3,4,0.25,1,3,1,4,5,2,2,0.6666666666666666,2,3.0,633.4166666666666,7.666666666666667,0,train
54,F,Marié(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Occasionnel,58,3346,4,80,9,1,0,2,2,1,2,2,2,4,0.2,1,3,1,9,3,0,0,0.0,2,2.0,334.6,1.8,0,train
55,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Aucun,29,4649,1,80,4,4,3,4,3,2,3,1,2,3,0.14,1,3,1,2,3,0,2,0.6,0,2.5,929.8,2.0,0,train
56,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,34,5337,1,80,10,10,7,4,4,2,4,4,3,3,0.12,0,3,1,21,4,5,7,0.6363636363636364,-1,3.75,485.1818181818182,5.0,0,train
57,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Y,Aucun,27,4621,1,80,3,3,2,1,1,1,3,4,3,3,0.19,3,4,1,8,5,1,2,0.5,2,2.75,1155.25,1.5,0,train
58,F,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,42,6244,7,80,10,5,4,3,2,2,3,1,3,3,0.17,0,6,1,14,2,0,3,0.6666666666666666,1,2.5,567.6363636363636,1.25,0,train
59,F,Divorcé(e),Consulting,Assistant de Direction,Oui,Infra & Cloud,Y,Frequent,41,5467,3,80,12,6,2,4,3,2,4,1,2,3,0.14,2,4,1,22,3,3,3,0.2857142857142857,0,2.75,420.53846153846155,3.0,0,train
60,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,37,7428,2,80,12,5,3,3,3,3,4,1,3,3,0.12,0,3,1,3,3,1,3,0.5,0,2.75,571.3846153846154,4.0,0,train
61,M,Marié(e),Consulting,Consultant,Oui,Entrepreunariat,Y,Occasionnel,25,3691,1,80,7,7,7,4,3,1,4,2,4,3,0.15,1,3,1,4,1,5,6,0.875,0,3.5,461.375,3.5,1,train
62,F,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Frequent,33,4539,1,80,10,10,7,2,3,2,3,1,2,3,0.12,1,3,1,25,3,0,1,0.6363636363636364,0,2.0,412.6363636363636,5.0,0,train
63,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,32,5010,1,80,12,11,8,2,3,2,3,1,3,3,0.16,0,0,1,6,4,5,7,0.6666666666666666,0,2.25,385.38461538461536,6.0,0,train
64,F,Marié(e),Consulting,Assistant de Direction,Oui,Infra & Cloud,Y,Occasionnel,36,3419,9,80,6,1,1,2,2,1,1,4,4,3,0.14,1,3,1,5,4,0,0,0.5,1,2.75,488.42857142857144,0.6,0,train
65,M,Divorcé(e),Consulting,Consultant,Oui,Transformation Digitale,Y,Occasionnel,26,2373,2,80,5,3,2,1,3,1,2,4,3,3,0.13,1,2,1,16,4,0,2,0.5,0,2.5,395.5,1.6666666666666667,1,train
66,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,40,10435,1,80,18,18,15,1,2,3,3,4,3,3,0.13,2,2,1,15,3,14,12,0.7894736842105263,1,2.75,549.2105263157895,9.0,0,train
67,F,Célibataire,Consulting,Tech Lead,Oui,Transformation Digitale,Y,Frequent,39,10880,1,80,21,21,6,4,3,3,1,3,3,3,0.13,0,2,1,22,3,2,8,0.2727272727272727,0,2.75,494.54545454545456,10.5,0,train
68,M,Célibataire,Consulting,Senior Manager,Non,Transformation Digitale,Y,Aucun,48,16885,2,80,27,5,4,1,4,4,4,3,2,4,0.22,0,3,1,1,4,2,1,0.6666666666666666,0,2.5,603.0357142857143,9.0,0,train
69,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Y,Aucun,32,2314,0,80,4,3,0,4,3,1,4,2,3,3,0.12,1,2,1,1,3,0,2,0.0,0,3.25,462.8,4.0,0,train
70,F,Célibataire,Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Occasionnel,43,4081,1,80,20,20,7,1,2,2,3,1,1,3,0.14,0,3,1,6,3,1,8,0.3333333333333333,1,1.5,194.33333333333334,10.0,0,train
71,M,Divorcé(e),Consulting,Manager,Non,Infra & Cloud,Y,Frequent,39,12169,7,80,21,18,7,1,3,4,4,4,3,3,0.11,3,4,1,2,3,11,5,0.3684210526315789,0,3.0,553.1363636363636,2.625,1,train
72,F,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Y,Frequent,20,2926,1,80,1,1,0,4,2,1,4,2,3,3,0.18,0,5,1,6,3,1,0,0.0,1,3.25,1463.0,0.5,1,train
73,M,Marié(e),Commercial,Représentant Commercial,Non,Entrepreunariat,Y,Occasionnel,39,2086,3,80,19,1,0,4,3,2,4,3,4,3,0.14,1,6,1,5,3,0,0,0.0,0,3.75,104.3,4.75,1,train
74,F,Marié(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Occasionnel,34,2585,0,80,2,1,0,3,4,1,3,4,2,3,0.17,0,5,1,20,3,0,0,0.0,-1,3.0,861.6666666666666,2.0,0,train
75,F,Célibataire,Consulting,Tech Lead,Oui,Infra & Cloud,Y,Frequent,38,5980,6,80,17,15,7,1,4,2,1,4,3,3,0.12,0,2,1,2,4,4,12,0.4375,-1,2.25,332.22222222222223,2.4285714285714284,0,train
76,F,Marié(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,28,4779,1,80,8,8,7,2,3,2,2,1,3,4,0.2,0,2,1,2,4,7,5,0.7777777777777778,1,2.0,531.0,4.0,0,train
77,M,Divorcé(e),Consulting,Consultant,Non,Entrepreunariat,Y,Occasionnel,28,2367,5,80,6,4,1,3,2,1,4,1,2,3,0.12,1,2,1,17,3,0,3,0.2,1,2.5,338.14285714285717,1.0,1,train
78,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Aucun,45,5593,1,80,15,15,10,2,2,2,3,4,3,3,0.13,1,2,1,9,4,4,12,0.625,1,3.0,349.5625,7.5,0,train
79,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Frequent,26,4294,1,80,7,7,7,3,2,2,1,2,3,3,0.12,0,2,1,1,3,0,7,0.875,1,2.25,536.75,3.5,0,train
80,F,Célibataire,Consulting,Tech Lead,Oui,Infra & Cloud,Y,Occasionnel,36,5410,9,80,18,16,14,3,3,2,2,4,3,3,0.11,0,2,1,2,4,5,12,0.8235294117647058,0,3.0,284.7368421052632,1.8,0,train
81,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,48,8120,3,80,12,2,2,2,4,2,2,4,3,3,0.12,0,3,1,2,1,2,2,0.6666666666666666,-1,2.75,624.6153846153846,3.0,0,train
82,F,Divorcé(e),Consulting,Manager,Oui,Autre,Y,Occasionnel,43,4522,4,80,8,5,2,3,3,2,3,4,3,3,0.14,0,3,1,8,4,0,2,0.3333333333333333,0,3.25,502.44444444444446,1.6,0,train
83,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Transformation Digitale,Y,Occasionnel,31,6583,2,80,8,5,2,3,3,2,4,4,3,3,0.11,1,2,1,10,2,1,4,0.3333333333333333,0,3.5,731.4444444444445,2.6666666666666665,0,train
84,M,Marié(e),Consulting,Assistant de Direction,Oui,Autre,Y,Frequent,34,5747,1,80,16,15,10,3,2,2,4,2,3,3,0.15,0,3,1,22,4,6,11,0.625,1,3.0,338.05882352941177,8.0,0,train
85,M,Marié(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Occasionnel,47,3420,7,80,17,6,5,1,3,1,4,3,2,3,0.12,1,2,1,1,3,1,2,0.7142857142857143,0,2.5,190.0,2.125,0,train
86,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Y,Occasionnel,34,5429,4,80,10,8,7,2,3,2,3,1,3,3,0.13,2,1,1,29,3,7,7,0.7777777777777778,0,2.25,493.54545454545456,2.0,0,train
87,F,Marié(e),Commercial,Représentant Commercial,Non,Marketing,Y,Occasionnel,35,2014,1,80,2,2,2,4,3,1,4,1,3,3,0.13,0,3,1,2,3,2,2,0.6666666666666666,0,3.0,671.3333333333334,1.0,0,train
88,M,Marié(e),Consulting,Tech Lead,Non,Entrepreunariat,Y,Occasionnel,38,6261,3,80,9,7,7,4,3,2,4,1,1,3,0.18,1,3,1,29,3,1,7,0.875,0,2.5,626.1,2.25,0,train
89,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,23,1223,1,80,1,1,0,4,3,1,3,4,3,4,0.22,1,2,1,1,2,0,1,0.0,1,3.5,611.5,0.5,0,train
90,M,Divorcé(e),Consulting,Consultant,Oui,Infra & Cloud,Y,Frequent,44,3161,3,80,19,1,0,4,3,1,3,4,1,4,0.22,1,0,1,24,3,0,0,0.0,1,3.0,158.05,4.75,1,train
91,F,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,29,3785,1,80,5,5,4,4,2,1,1,2,1,3,0.14,0,3,1,28,4,0,4,0.6666666666666666,1,2.0,630.8333333333334,2.5,0,train
92,M,Marié(e),Commercial,Cadre Commercial,Oui,Entrepreunariat,Y,Occasionnel,34,7083,1,80,10,10,9,4,2,3,3,4,3,3,0.14,0,3,1,1,3,8,6,0.8181818181818182,1,3.5,643.9090909090909,5.0,0,train
93,F,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Y,Aucun,36,5674,7,80,11,9,8,2,3,2,2,3,3,3,0.15,1,3,1,24,4,0,8,0.8,0,2.5,472.8333333333333,1.375,0,train
94,M,Divorcé(e),Consulting,Manager,Oui,Transformation Digitale,Y,Aucun,55,13577,1,80,34,33,9,4,2,4,2,4,3,3,0.15,1,3,1,8,1,15,0,0.2647058823529412,1,3.25,387.9142857142857,17.0,0,train
95,M,Marié(e),Consulting,Directeur Technique,Non,Infra & Cloud,Y,Occasionnel,43,17159,6,80,22,4,1,2,3,4,1,3,3,4,0.24,1,3,1,14,2,1,0,0.2,1,2.25,746.0434782608696,3.142857142857143,0,train
96,F,Célibataire,Consulting,Assistant de Direction,Oui,Infra & Cloud,Y,Frequent,32,4998,4,80,10,8,7,4,3,2,3,4,3,3,0.14,0,2,1,2,2,0,7,0.7777777777777778,0,3.5,454.3636363636364,2.0,0,train
97,M,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Y,Frequent,32,4648,8,80,4,0,0,4,3,2,4,3,4,3,0.13,0,2,1,10,4,0,0,0.0,0,3.75,929.6,0.4444444444444444,0,train
98,F,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,25,6180,1,80,6,6,5,3,3,2,4,2,2,4,0.23,0,5,1,26,1,1,4,0.7142857142857143,1,2.75,882.8571428571429,3.0,0,train
99,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,37,4285,1,80,10,10,8,1,3,2,4,1,3,3,0.17,0,2,1,13,3,3,7,0.7272727272727273,0,2.25,389.54545454545456,5.0,0,train
100,M,Célibataire,Commercial,Représentant Commercial,Non,Entrepreunariat,Y,Occasionnel,45,6632,0,80,9,8,7,2,1,2,3,1,3,3,0.13,0,3,1,2,2,3,1,0.7777777777777778,2,2.25,663.2,9.0,0,train
101,M,Célibataire,Consulting,Assistant de Direction,Oui,Autre,Y,Occasionnel,33,2799,3,80,6,3,2,3,2,1,1,2,3,3,0.11,0,1,1,1,4,0,2,0.5,1,2.25,399.85714285714283,1.5,0,train
102,F,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Y,Occasionnel,31,3978,8,80,4,2,2,1,4,1,3,2,2,3,0.12,1,0,1,4,3,2,2,0.6666666666666666,-1,2.0,795.6,0.4444444444444444,0,train
103,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,26,4306,5,80,8,0,0,1,3,2,3,1,3,3,0.12,2,5,1,29,2,0,0,0.0,0,2.0,478.44444444444446,1.3333333333333333,0,train
104,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Aucun,46,7991,8,80,6,2,2,2,2,2,2,3,3,3,0.15,0,3,1,26,2,2,2,0.6666666666666666,1,2.5,1141.5714285714287,0.6666666666666666,0,train
105,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,29,7336,1,80,11,11,8,4,2,3,1,1,1,3,0.13,1,3,1,23,1,3,10,0.6666666666666666,1,1.75,611.3333333333334,5.5,1,train
106,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,21,1232,1,80,0,0,0,3,3,1,4,4,3,3,0.14,0,6,1,15,2,0,0,0.0,0,3.5,1232.0,0.0,0,train
107,F,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,52,19845,1,80,33,32,14,1,1,5,4,4,3,3,0.15,1,3,1,2,1,6,9,0.42424242424242425,2,3.0,583.6764705882352,16.5,1,train
108,F,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,37,3920,2,80,17,3,1,3,2,1,1,1,2,3,0.14,1,2,1,1,2,0,2,0.25,1,1.75,217.77777777777777,5.666666666666667,0,train
109,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Y,Occasionnel,39,5151,1,80,10,10,0,1,3,2,1,4,3,4,0.25,1,3,1,9,2,7,9,0.0,1,2.25,468.27272727272725,5.0,0,train
110,F,Marié(e),Commercial,Représentant Commercial,Non,Transformation Digitale,Y,Occasionnel,27,2534,8,80,5,1,0,3,4,1,4,2,3,3,0.14,1,4,1,11,3,0,0,0.0,-1,3.0,422.3333333333333,0.5555555555555556,0,train
